Team,Day,Round,Tasting Date,Competition,CompetitionCode,flightcode,WineNodeID,Priority,winename,producer,appellation,vintage,price,SubmitterCompanyName,SubmitterTelephone,SubmitterWebsite,BottleSize,ResidualSugar,SweetnessLevel,WineClassName,CompetitionCategoryName,CountryName,WineType,WineColour
Team 8,Day 2,2,10/03/2020,2020,FR-BX-R,2020_FR-BX-R_010,30079,10,Moulin D'issan,Château D'issan,Bordeaux Supérieur,2017,17.52,Château d'Issan,05 57 88 35 91,www.chateau-issan.com,,,,Old World,"France - Bordeaux, red",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_001,29713,1,Château Peychaud Côtes De Bourg,Famille Helfrich,Bordeaux,2016,6.35,Famille Helfrich,03 88 71 79 63,www.groupegcf.com,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_002,30244,2,"Esprit De Lussac, Lussac St-emilion",Producta,Bordeaux,2016,8.44,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_004,30845,4,"Chateau Merigot, Côtes de Bourg",Chateau Merigot,Bordeaux,2016,11.35, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_005A,32363,05A,Chateau du Puy Bonnet Montagne St Emilion,CVBG,Bordeaux,2018,12.79,Jascots Wine Merchants Ltd.,020 8965 2000,https://www.jascots.co.uk/,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_006,29886,6,L'épiphanie De Saint-émilion,Direct Wines France,Saint-émilion Aoc,2018,13.16,Direct Wines Production,2074075536,www.directwinesproduction.com,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_007,30380,7,"Château Pontet Bayard, Montagne St-emilion",Château Pontet Bayard,Bordeaux,2016,13.48,SAS Samazeuilh Et Cie,33557503343,,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_010,31129,10,Chateau Viramiere St-Emilion Grand Cru,UNION DE PRODUCTEURS,Bordeaux,2014,16.17,Bibendum Wine,7885709315,,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_011,30368,11,"Vignobles Rousselot, Château Au Pont De Guitres",Vignobles Rousselot,Bordeaux,2015,16.5,SAS Samazeuilh Et Cie,33557503343,,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_013,32153,13,St. Emilion Grand Cru,Chateau Edmus,Bordeaux,2015,22.64,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 6,Day 2,2,10/03/2020,2020,FR-BX-RB-R,2020_FR-BX-RB-R_016,31133,16,Murmure de Larcis Ducasse St Emilion GC,WINGS WINE FRANCOIS THIEN,Bordeaux,2014,26.37,Bibendum Wine,7885709315,,,,,Old World,"France - Bordeaux, red - Right Bank",France,Still,Red
Team 3,Day 1,2,09/03/2020,2020,FR-BX-W,2020_FR-BX-W_003,29325,3,Chateau Reynier Bordeaux Blanc Marc Lurton,Chateau Reynier,Bordeaux,2018,8.09,Davy's Wine Merchants,020 8858 6011,www.davywine.co.uk,,,,Old World,"France - Bordeaux, white",France,Still,White
Team 3,Day 1,2,09/03/2020,2020,FR-BX-W,2020_FR-BX-W_005,28783,5,Château Reynon,Earl Denis Dubourdieu Domaines,Bordeaux,2018,15.94,EARL DENIS DUBOURDIEU DOMAINES,05 56 62 96 99,www.denisdubourdieu.fr,,,,Old World,"France - Bordeaux, white",France,Still,White
Team 3,Day 1,2,09/03/2020,2020,FR-BX-W,2020_FR-BX-W_006,28784,6,Clos Floridène,Earl Denis Dubourdieu Domaines,Bordeaux,2018,19.21,EARL DENIS DUBOURDIEU DOMAINES,05 56 62 96 99,www.denisdubourdieu.fr,,,,Old World,"France - Bordeaux, white",France,Still,White
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL,2020_FR-BY-BJL_001,30233,1,"Maison Jean Loron, Domaine Du Sabot, Beaujolais-villages",Maison Jean Loron,Beaujolais,2019,7.53,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,"France - Beaujolais & Coteaux Bourguignon, red",France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL,2020_FR-BY-BJL_002,30483,2,Beaujolais Villages,Henry Fessy,Beaujolais,2018,8.85,Louis Latour Agencies,020 7318 5978,www.louislatour.co.uk,,,,Old World,"France - Beaujolais & Coteaux Bourguignon, red",France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL-CR,2020_FR-BY-BJL-CR_002,31020,2,Selection du Baron de la Vauxonne Brouilly,COMPAGNIE DE BURGONDIE,Beaujolais,2018,10.6,Bibendum Wine,7885709315,,,,,Old World,France - Beaujolais Cru,France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL-CR,2020_FR-BY-BJL-CR_003,29538,3,"Les Grandes Mises, Côte De Brouilly ",Mommessin ,Beaujolais ,2018,11.38,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,France - Beaujolais Cru,France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL-CR,2020_FR-BY-BJL-CR_005,29537,5,"Les Grandes Mises, Saint Amour",Mommessin,Beaujolais,2018,12.21,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,France - Beaujolais Cru,France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL-CR,2020_FR-BY-BJL-CR_007,30962,7,"Morgon, Chateau Grand Pré",Chateau De Grand Pré,Beaujolais,2018,14.85, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,France - Beaujolais Cru,France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-BY-BJL-CR,2020_FR-BY-BJL-CR_010,29453,10,Chateau Des Jacques Morgon,Louis Jadot,Beaujolais,2016,11.11, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,France - Beaujolais Cru,France,Still,Red
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_001,29760,1,Chartron & Trébuchet Chablis,Famille Helfrich,Bourgogne,2018,9.19,Famille Helfrich,03 88 71 79 63,www.groupegcf.com,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_005,28375,5,Chablis Sélection Vieilles Vignes,Savary,Burgundy,2018,16.9,Domaine Savary,386474209,www.chablis-savary.com,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_006,28374,6,Chablis Sélection Vieilles Vignes,Savary,Burgundy,2017,16.9,Domaine Savary,386474209,www.chablis-savary.com,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_007,28373,7,Chablis Sélection Vieilles Vignes,Savary,Burgundy,2016,16.9,Domaine Savary,386474209,www.chablis-savary.com,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_008,32165,8,Chablis Vieilles Vignes,Domaine Testut,Chablis,2018,17.41,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_009,32093,9,"Domaine de Vauroux, Olivier Tricon Chablis",Domaine de Vauroux,Burgundy,2018,17.48,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_010,31088,10,Domaine Costal Chablis,JEAN COLLET ET FILS,"Chablis, Burgundy",2018,17.48,Bibendum Wine,7885709315,,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha,2020_FR-BY-CHA_011,29592,11,"J Moreau & Fils, Chablis",J Moreau & Fils,Burgundy,2018,17.55,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,France - Chablis,France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha-CR,2020_FR-BY-CHA-CR_001,31202,1,Chablis 1er Cru Vaillons,La Chablisienne,Burgundy,2017,19.9,Bibendum Wine,7885709315,,,,,Old World,"France - Chablis, cru, including single vineyard wines",France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha-CR,2020_FR-BY-CHA-CR_002,31087,2,Domaine Paul Nicolle Chablis 1er Cru Les Fourneaux,CHARLY NICOLLE,"Chablis, Burgundy",2017,20.12,Bibendum Wine,7885709315,,,,,Old World,"France - Chablis, cru, including single vineyard wines",France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha-CR,2020_FR-BY-CHA-CR_005,31032,5,Chablis 1er Cru Vaillons Domaine Jean Defaix,DANIEL DAMPT,"Chablis, Burgundy",2017,22.15,Bibendum Wine,7885709315,,,,,Old World,"France - Chablis, cru, including single vineyard wines",France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha-CR,2020_FR-BY-CHA-CR_006,32164,6,Chablis 1er Cru Montee de Tonnerre,Domaine Testut,Chablis,2017,22.86,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Chablis, cru, including single vineyard wines",France,Still,White
Team 8,Day 1,2,09/03/2020,2020,FR-BY-Cha-CR,2020_FR-BY-CHA-CR_007,31181,7,Chablis 1er Cru Les Beugnons,Domaine Jean Defaix,Burgundy,2018,22.91,Bibendum Wine,7885709315,,,,,Old World,"France - Chablis, cru, including single vineyard wines",France,Still,White
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_001,29763,1,Hospices De Beaujeu Bourgogne Gamay,Famille Helfrich,Bourgogne,2018,7.21,Famille Helfrich,03 88 71 79 63,www.groupegcf.com,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_004,29711,4,"Bourgogne Rouge, Les Ursulines",Jean-claude Boisset,Bourgogne,2018,14.9,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_006,32186,6,Santenay Vieilles Vignes,Lequin-Colin,Burgundy,2017,18.17,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_007,30971,7,"Bourgogne Rouge, 'Cuvée Baudron', Gouffier",Gouffier,Burgundy,2017,18.93, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_009,29712,9,"Chorey-lès-beaune, Les Beaumonts",Jean-claude Boisset,Bourgogne,2017,23.5,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_011,30972,11,"Mercurey 'Les Murgers', Gouffier",Gouffier,Burgundy,2017,25.4, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_012,30964,12,"Santenay Les Charmes, Antoine Olivier",Antoine Olivier,Burgundy,2016,27.15, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_013,30968,13,"Givry 1er Cru, Clos de la Servoisine Rouge, Domaine Joblot",Domaine Joblot,Burgundy,2017,29.17, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_018,31262,18,Gevrey Chambertain Domaine Gallois,DOMAINE GALLOIS,Burgundy,2012,46.57,Bibendum Wine,7885709315,,,,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_019,28801,19,Edouard Delaunay Septembre Bourgogne Pinot Noir,Edouard Delaunay,Burgundy,2018,14.37,Badet Clement,7818004332,www.badet-clement.com,,<10g/litre,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_020,29455,20,Santenay 1er Cru Maladiere,Domaine Prieur-brunet,Santenay,2016,20.43, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,"France - Burgundy, red",France,Still,Red
Team 10,Day 2,2,10/03/2020,2020,FR-BY-R,2020_FR-BY-R_023,28895,23,Clos Marey-monge,Château De Pommard,Burgundy,2017,105.04,VIVANT INC,380220799,www.chateaudepommard.com,,<10g/litre,,Old World,"France - Burgundy, red",France,Still,Red
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_001,30212,1,Macon-villages La Cave D'azé,La Compagnie De Burgondie,Burgundy,2018,7.73,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_004,29590,4,"Bouchard Aîné & Fils, Mâcon Villages",Bouchard Aîné & Fils,Burgundy,2018,12.14,"Boisset, la famille des grands vins",7407646416,http://www.boisset.fr/en/?valid_legal=1,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_005,32073,5,Bourgogne Chardonnay 18 Drouhin 6/75,Joseph Drouhin,Burgundy,2018,13.93,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_006,31021,6,Montagny 1er Cru Domaine des vignes bleues 7,COMPAGNIE DE BURGONDIE,Burgundy,2016,14.23,Bibendum Wine,7885709315,,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_013,32160,13,Givry Blanc 1er Cellier Moines,Domaine Baron Thenard,Burgundy,2016,19.5,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_014,32185,14,Santenay Les Hates,Lequin-Colin,Burgundy,2018,21.53,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_015,32181,15,Monthelie Blanc,Laurent Boussey,Burgundy,2016,22.44,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_017,32184,17,Chassagne Montrachet Clos Devant,Lequin-Colin,Burgundy,2018,31.04,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_021,29459,21,Macon Villages Domaine De La Grange Magnien ,Louis Jadot ,Burgundy ,2018,11.42, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_023,29458,23,Rully Blanc,Louis Jadot,Burgundy,2018,15, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_025,28894,25,Bourgogne Chardonnay,Famille Carabello-baum,Burgundy,2017,25.39,VIVANT INC,380220799,www.chateaudepommard.com,,<10g/litre,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_026,28898,26,Meursault,Famille Carabello-baum,Burgundy,2017,46.98,VIVANT INC,380220799,www.chateaudepommard.com,,<10g/litre,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 6,Day 1,2,09/03/2020,2020,FR-BY-W,2020_FR-BY-W_027,28931,27,Ladoix Premier Cru les Gréchons,Famille Carabello-baum,Burgundy,2017,64.27,VIVANT INC,380220799,www.chateaudepommard.com,,<10g/litre,,Old World,"France - Burgundy, white, including Coteaux Bourguignon",France,Still,White
Team 4,Day 1,2,09/03/2020,2020,FR-JU,2020_FR-JU_001,31303,1,Domaine de la Pinte Vin Jaune Arbois,DOMAINE DE LA PINTE,Jura,2009,48.53,Bibendum Wine,7885709315,,,<10g/litre,,Old World,"France - Jura, white",France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-Che,2020_FR-LOI-CHE_001,29697,1,Château De Fesles Chenin Sec,Famille Helfrich,Loire,2017,7.34,Famille Helfrich,03 88 71 79 63,www.groupegcf.com,,<10g/litre,,Old World,France - Loire - Chenin,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-Che,2020_FR-LOI-CHE_003,28807,3,Drouet Frères Saumur,Drouet Frères,Loire,2018,10.77,"Orchidées, Maisons de Vin",241530310,www.orchidees-maisonsdevin.fr,,<10g/litre,,Old World,France - Loire - Chenin,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-Che,2020_FR-LOI-CHE_007,30851,7,"Savennières, 'Le Moulin de Gué', Loire, Domaine des Forges",Domaine Des Forges,Loire,2018,14.95, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,<10g/litre,,Old World,France - Loire - Chenin,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-Che,2020_FR-LOI-CHE_008,30840,8,"Vouvray Sec, 'Patrimoine', Domaine de la Rouletière",Domaine De La Rouletière,Loire,2015,16.1, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,<10g/litre,,Old World,France - Loire - Chenin,France,Still,White
Team 9,Day 2,2,10/03/2020,2020,FR-LOI-R,2020_FR-LOI-R_002,32079,2,"Domaine Pierre Sourdais, Chinon Tradition Organic",Domaine Pierre Sourdais,Loire,2018,11.98,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,"France - Loire, red",France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-LOI-R,2020_FR-LOI-R_003,30945,3,"Sancerre Rouge, Domaine de la Villaudière",Domaine De La Villaudière,Loire,2017,15.26, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Loire, red",France,Still,Red
Team 9,Day 2,2,10/03/2020,2020,FR-LOI-R,2020_FR-LOI-R_003A,30955,03A,"Menetou-Salon, Pommerais, 'La Tour Saint Martin', Domaines Minchin",Domaine Minchin,Loire,2017,15.68, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Loire, red",France,Still,Red
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-San,2020_FR-LOI-SAN_001,29656,1,"Château De Fontaine-Audon, Cuvée Silex",Langlois-chateau,Sancerre,2018,12.05,Mentzendorff & co ltd,2078403600,www.mentzendorff.co.uk,,,,Old World,France - Loire - Sancerre,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-San,2020_FR-LOI-SAN_002,30230,2,Sancerre Duc Armand,Caves Des Vins De Sancerre,Loire,2018,13.49,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,France - Loire - Sancerre,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-San,2020_FR-LOI-SAN_008,32121,8,Sancerre Blanc 'La Griffe du Silex',Alain Gueneau,Loire,2017,18.1,Top Selection Ltd,2072904454,www.topselection.co.uk,,,,Old World,France - Loire - Sancerre,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-San,2020_FR-LOI-SAN_009,32077,9,"Domaine Franck Millet, Sancerre Cuvée Insolite",Domaine Franck Millet,Loire,2018,23.63,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,France - Loire - Sancerre,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-San,2020_FR-LOI-SAN_011,28809,11,Donatien Bahuaud Sancerre,Donatien Bahuaud,Loire,2018,22.03,"Orchidées, Maisons de Vin",241530310,www.orchidees-maisonsdevin.fr,,<10g/litre,,Old World,France - Loire - Sancerre,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_004,30223,4,"Grands Chais De France, Pouilly-fumé Pierre Brevin",Grands Chais De France,Loire,2018,13.22,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_005,31186,5,Pouilly Fume Calcite,Francis Blanchet,Loire Valley,2018,13.65,Bibendum Wine,7885709315,,,,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_007,31000,7,"Pouilly-Fumé, Domaine Tabordet",Domaine Tabordet,Loire,2018,16.12, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_008,31973,8,"Domaine du Pré Baron, Touraine Sauvignon Blanc",Domaine du Pré Baron,Loire,2019,7.95, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,<10g/litre,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_010,29463,10,Pouilly Fume Le Chant Des Vignes,Joseph Mellot,Loire,2019,9.66, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_011,29464,11,Pouilly Fume Domaine Des Mariniers,Joseph Mellot,Loire,2018,10.94, Hatch Mansfield,01344 871800,http://www.hatchmansfield.com,,<10g/litre,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_012,31572,12,Quincy Domaine Des Ballandors,Domaine Des Ballandors,Loire,2019,12.12,Domaine des Ballandors,33248752009,www.domaines-tatin.com,,<10g/litre,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 5,Day 1,2,09/03/2020,2020,FR-LOI-Sav,2020_FR-LOI-SAV_015,28810,15,Donatien Bahuaud La Bibliothèque Pouilly-fumé,Donatien Bahuaud,Loire,2018,18.55,"Orchidées, Maisons de Vin",241530310,www.orchidees-maisonsdevin.fr,,<10g/litre,,Old World,France - Loire - Sauvignon-Menetou/Pouilly ,France,Still,White
Team 1,Day 1,2,09/03/2020,2020,FR-LOI-W,2020_FR-LOI-W_001,30954,1,"Muscadet sans soufre ajouté, 'Katharos', Louise Chéreau",Chéreau Carré,Loire,2018,11.98, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,<10g/litre,,Old World,France - Loire - Other whites,France,Still,White
Team 3,Day 2,2,10/03/2020,2020,FR-O-R,2020_FR-O-R_001,31948,1,"Uva Non Grata Gamay, Vin de France",Boutinot France,Vin de France,2018,6.25, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,,,Old World,France - Other regions - red,France,Still,Red
Team 4,Day 2,2,10/03/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_001,30190,1,"Côtes Du Rhône, Remy Ferbras",Les Grandes Serres,Côtes Du Rhône,2018,6.18,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 4,Day 2,2,10/03/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_002,29278,2,"Domaine Des Carabiniers, Lunar Apogé, Côtes Du Rhône",Domaine Des Carabiniers,Rhône,2018,9,Davy's Wine Merchants,020 8858 6011,www.davywine.co.uk,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 4,Day 2,2,10/03/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_003,32118,3,"Domaine Brusset, Laurent B, Côtes du Rhône",Domaine Brusset,Rhône,2019,10.23,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 4,Day 2,2,10/03/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_006,31004,6,"Côtes du Rhône Villages Plan de Dieu Vielles Vignes, Domaine Saint Damien",Domaine Saint Damien,Rhône,2018,12.74, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 4,Day 2,2,10/03/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_009,29346,9,Cotes Du Rhone Plan De Dieu Charles Tort,Charles Tort,Cote Du Rhone,2016,8.25,Frederic Robinson Limited,7854149790,www.robinsonsbrewery.com,,<10g/litre,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 7,Day 2,2,10/03/2020,2020,FR-RHO-N-R,2020_FR-RHO-N-R_002,31288,2,Crozes Hermitage Rouge Les Jalets,Paul Jaboulet,Rhone Valley,2017,17.7,Bibendum Wine,7885709315,,,,,Old World,"France - Rhône - north, red",France,Still,Red
